ngakak,tertawa
ngaku,mengaku
ngambek,marah
ngambil,mengambil
ngampus,pergi ke kampus
nganggur,tidak punya pekerjaan
ngantri,mengantri
ngapah,kenapa
ngapain,sedang apa
ngaret,terlambat
ngaruh,berpengaruh
ngasi,memberi
ngasih,memberi
ngawur,berbicara sembarangan
ngebandel,berbuat bandel
ngebully,intimidasi
ngegosip,bergosip
ngeh,sadar
ngehe,kesal
ngeklaim,mengklaim
ngekos,tinggal di kos
ngeksis,menjadi eksis
ngelag,lambat
ngelamar,melamar
ngeles,berkilah
ngeliat,melihat
ngelidur,menggigau
ngemeng,bicara terus-terusan
ngepans,penggemar
ngerampok,merampok
ngeri,seram
ngerti,mengerti
ngestuck,stuck
ngga,tidak
nggak,tidak
nggk,tidak
ngibul,berbohong
ngikut,ikut
ngiler,mau
ngimana,bagaimana
nginep,menginap
ngiri,iri
ngisi,mengisi
ngisiin,mengisikan
ngk,tidak
ngmg,bicara
ngmng,bicara
ngomong,bicara
ngomongin,membicarakan
ngsih,memberi
ngubek2,mencari-cari
ngumpet,sembunyi
ngumpul,berkumpul
ngurus,mengurus
ni,ini
nice,bagus
nie,ini
niech,nih
nih,ini
nimbrung,ikut serta
nipu,tipu
niyh,nih
njir,anjing
nkah,nikah
nmenarik,menarik
nmr,nomor
nngak,tidak
nnti,nanti
nntn,nonton
no,tidak
nobar,nonton bareng
nongkrong,kumpul-kumpul
notice,peringatan
ntar,nanti
ntn,nonton
nuhun,terima kasih
numpuk,bertumpuk
nunggu,menunggu
nutupin,menutupi
nyaingin,saing
nyalahin,salah
nyampah,membuang sampah
nyang,yang
nyari,mencari
nyariin,mencari
nyasar,tersesat
nyekar,menyekar
nyela,cela
nyembah,sembah
nyemot,ambil
nyerang,serang
nyiapin,mempersiapkan
nyicil,mencicil
nyiram,menyiram
nyoblos,mencoblos
nyok,ayo
nyokap,ibu
ogah,tidak mau
ok,oke
okt,oktober
omdo,omong doang
ongkir,ongkos kirim
oon,bodoh
oot,out of topic
orange,orangnya
org,orang
org2,orang-orang
original,asli
ortu,orang tua
otw,sedang di jalan
our,kami
overclaim,klaim berlebihan
owner,pemilik
pa,apa
padahl,padahal
pake,pakai
pakek,pakai
pala,kepala
paraaahhhhh,parah
paraah,parah
parahh,parah
parahhh,parah
parahhhh,parah
parahhhhh,parah
parno,takut
part,bagian
pas2an,pas-pasan
payahh,payah
payahhh,payah
pd,percaya diri
pdahal,padahal
pdhal,padahal
pdhl,padahal
pede,percaya diri
pengen,ingin
perhatiin,perhatikan
pesen,pesan
pesenan,pesanan
pesenin,pesankan
pgang,pegang
pgi,pergi
pi,tapi
pie,bagaimana
pingin,ingin
pisan,sangat
piye,bagaimana
pk,pakai
pke,pakai
pkek,pakai
pket,paket
pleksing,pamer
plg,paling
plh,pilih
pling,paling
plis,tolong
plish,tolong
pliss,tolong
pls,tolong
pm,private message
pmbyaran,pembayaran
pmrnth,pemerintah
pndh,pindah
pndukung,pendukung
pngen,ingin
pns,panas
pny,punya
pokus,fokus
pol,sekali
prank,bohong
prasaan,perasaan
preett,bohong
presh,segar
pret,bohong
prg,pergi
priksa,periksa
prnh,pernah
pro,profesional
problem,masalah
prodak,produk
prototype,contoh
psang,pasang
psen,pesan
psn,pesan
pst,pasti
psti,pasti
puanas,panas
pulgar,kasar
puyeng,pusing
pw,posisi nyaman
q,saya
qmo,kamu
qmu,kamu
qt,kita
rame,ramai
re,reply
ref,referensi
reg,register
rejeki,rezeki
rempong,sulit
repp,balas
retur,kembali
rezki,rezeki
rhs,rahasia
rights,benar
ril,asli
rill,asli
rja,raja
rkyt,rakyat
rmbt,rambut
rmh,rumah
rncna,rencana
rosak,rusak
ru,baru
rubahnn,rubah
ruko,rumah toko
rusk,rusak
ruz,terus
s4,sempat
sadaar,sadar
sadr,sadar
saia,saya
salh,salah
salting,salah tingkah
sam,sama
sampe,sampai
sampeyan,anda
samsek,sama sekali
sapa,siapa
sapose,siapa
satpam,satuan pengamanan
sbb,sebagai berikut
sbelum,sebelum
sbentar,sebentar
sbg,sebagai
sbh,sebuah
sblm,sebelum
sbnrny,sebenarnya
scara,secara
scencer,skincare
scr,secara
sdah,sudah
sdg,sedang
sdgkn,sedangkan
sdh,sudah
sdkt,sedikit
sdngkn,sedangkan
se7,setuju
seabrek,banyak
sebal,kesal
sebel,kesal
sebelas dua belas,mirip
sebelom,sebelum
sebenere,sebenarnya
segtu,segitu
seliweran,lewat
sembako,sembilan bahan pokok
sempet,sempat
sempet2nya,sempat-sempatnya
serasiii,serasi
seting,akting
setting,atur
setting,atur
sgla,segala
sgt,sangat
sgtunya,segitunya
shg,sehingga
shock,kaget
sibukgk,sibuk tidak
sidak,inspeksi mendadak
siech,sih
sieyh,sih
sii,sih
siii,sih
sikon,situasi dan kondisi
sinetron,sinema elektronik
sip,oke
siramin,siramkan
sis,kakak perempuan
sj,saja
skali,sekali
skalian,sekalian
skicare,skincare
skip,lewat
skl,sekali
sklh,sekolah
skrang,sekarang
skrg,sekarang
skrng,sekarang
skt,sakit
slalu,selalu
slama,selama
slesai,selesai
slh,salah
slhkn,salahkan
sll,selalu
sllu,selalu
slm,salam
slma,selama
slma,selama
slmt,selamat
slow,lambat
slowrespon,tanggapan lambat
slsai,selesai
slt,sulit
sm,sama
sma,sama
smart,pintar
smg,semoga
smga,semoga
smoga,semoga
smpe,sampai
smpt,sempat
smua,semua
smua,semua
smw,semua
smwny,semuanya
sndiri,sendiri
sng,senang
sni,sini
soft,halus
sohib,teman
solve,solusi
somse,sombong sekali
songong,sombong
sorry,maaf
sosmed,sosial media
sotoy,sok tahu
sowry,maaf
spa,siapa
speak up,berbicara
sppa,siapa
sprti,seperti
spt,seperti
spy,supaya
srtfkt,sertifikat
st,satu
stelah,setelah
step,langkah
stiap,setiap
still,masih
stlh,setelah
stop,berhenti
stoppp,berhenti
suk,masuk
sukak,suka
sumbangin,sumbangkan
sumpek,sempit
susaaaahhh,sulit
sy,saya
sya,saya
syg,sayang
synkkkk,sayang
syp,siapa
t4,tempat
tag,tandai
tajir,kaya
tak,tidak
tantrum,marah berlebihan
tar,nanti
tau,tahu
tauk,tahu
taun,tahun
taw,tahu
tawh,tahu
td,tadi
tdak,tidak
tdi,tadi
tdk,tidak
te2p,tetap
tekor,rugi
telat,terlambat
telp,telepon
temen,teman
temen2,teman-teman
tengil,menyebalkan
tengkyu,terima kasih
tengok,menjenguk
tepar,terkapar
terbitin,terbitkan
tggu,tunggu
tgk,liat
tgl,tanggal
tgu,tunggu
thanks,terima kasih
thankz,terima kasih
thd,terhadap
thn,tahun
thx,terima kasih
tiem,tim
tipi,tv
tk,tidak
tkg,tukang
tks,terima kasih
tkut,takut
tlg,tolong
tll,terlalu
tlng,tolong
tlong,tolong
tlp,telepon
tlpn,telepon
tls,tulis
tman,teman
tmbah,tambah
tmbh,tambah
tmen2,teman-teman
tmn2,teman-teman
tmpah,tumpah
tmph,tumpah
tmpt,tempat
tnda,tanda
tngu,tunggu
tnh,tanah
tnyta,ternyata
toserba,toko serba ada
tp,tapi
tpi,tapi
tq,terima kasih
trdhulu,terdahulu
tren,trend
trending,trend
trgntg,tergantung
trima,terima kasih
trimakasih,terima kasih
trims,terima kasih
trimz,terima kasih
trlalu,terlalu
trm,terima
trnyt,ternyata
trosss,terus
trouble,masalah
trpaksa,terpaksa
trs,terus
trsssss,terus
trsumbat,tersumbat
trtarik,tertarik
trus,terus
trutama,terutama
trz,terus
tsangka,tersangka
tsb,tersebut
tsk,tersangka
ttd,tertanda
ttep,tetap
ttg,tentang
ttp,tetap
tuch,tuh
tuh,itu
tuhh,itu
tuhhh,itu
tuir,tua
tuk,untuk
tumbas,beli
tuwh,tuh
tw,tahu
tx,terima kasih
tyap,tiap
u,kamu
u/,untuk
ud,sudah
uda,sudah
udah,sudah
udh,sudah
ujg,ujung
ujung2nya,ujung-ujungnya
unyu,lucu
uong,orang
update,perbarui
upgrade,perbarui
upgred,perbarui
uplot,unggah
uppu,apa
urang,saya
urg,saya
usah,perlu
utang,hutang
utg,untung
utip,kutip
utk,untuk
valid,sah
viti,video
vol,volume
vote,pilih
vt,video tiktok
w/,dengan
wad,buat
wait,tunggu
war,perang
warnet,warung internet
wartel,warung telekomunikasi
waspadalah,waspada
wat,buat
wes,udah
wjh,wajah
wk,tertawa
wkt,waktu
wkwk,tertawa
wkwkkw,tertawa
woi,teman-teman
woy,teman-teman
wtf,what the fuck
wth,what the hell
x,kali
xabi,bisa
xixixi,tertawa
y,ya
ya,iya
yad,yang akan datang
yap,iya
yapz,iya
yaudah,ya sudah
yauwda,ya sudah
yawdah,ya sudah
ybs,yang bersangkutan
yg,yang
ygy,teman
yi,yaitu
yl,yang lain
yng,yang
yo,iya
yoha,iya
yowes,ya sudah
yuk,ayo
yup,iya
ywdh,ya sudah
zonk,bodoh
kh,kah
koq,kok
b,biasa
krywan,karyawan
syg,sayang
sgtu,segitu
request,minta
stop,berhenti
customer,konsumen
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
